id_intervento,tipo,nome,fase,fase_orig,data_stato,data_attivazione,data_fine
Isole_Ambientali:b2a7d64781,isola_ambientale,Cecilia Metella,da_definire,,placeholder,,
Strade_Scolastiche:a6f6118950,strada_scolastica,regina elena,da_definire,1,placeholder,,
Strade_Scolastiche:1ef0d39630,strada_scolastica,federico di donato,da_definire,2,placeholder,,
Strade_Scolastiche:0b2cf8e23f,strada_scolastica,gioacchino belli,da_definire,2,placeholder,,
Strade_Scolastiche:bb991e0429,strada_scolastica,cassiodoro,da_definire,2,placeholder,,
Strade_Scolastiche:1cf29659ae,strada_scolastica,ruggero bonghi,da_definire,2,placeholder,,
Strade_Scolastiche:28be1cfaee,strada_scolastica,cadlolo,da_definire,6,placeholder,,
Strade_Scolastiche:5ba0eac404,strada_scolastica,ermenegildo pistelli,da_definire,0,placeholder,,
Strade_Scolastiche:3428e483c9,strada_scolastica,falcone e borsellino,da_definire,4,placeholder,,
Strade_Scolastiche:12e42adf25,strada_scolastica,saffi,da_definire,6,placeholder,,
Strade_Scolastiche:36e36dbd3f,strada_scolastica,angeli della città,da_definire,2,placeholder,,
Strade_Scolastiche:84184f237b,strada_scolastica,monte cardoneto,da_definire,0,placeholder,,
Strade_Scolastiche:478334225d,strada_scolastica,pisacane,da_definire,5,placeholder,,
Strade_Scolastiche:35ab3a0692,strada_scolastica,madre teresa di calcutta,da_definire,1,placeholder,,
Strade_Scolastiche:d17ff5af32,strada_scolastica,romolo balzani,da_definire,3,placeholder,,
Strade_Scolastiche:872d28a137,strada_scolastica,martin luther king,da_definire,3,placeholder,,
Strade_Scolastiche:654418afc3,strada_scolastica,oscar romero,da_definire,3,placeholder,,
Strade_Scolastiche:bd18bf94e2,strada_scolastica,giuseppe garibaldi,da_definire,2,placeholder,,
Strade_Scolastiche:a345600b8a,strada_scolastica,torre maura,da_definire,0,placeholder,,
Strade_Scolastiche:7d91988571,strada_scolastica,don filippo rinaldi,da_definire,0,placeholder,,
Strade_Scolastiche:fd2000d632,strada_scolastica,marcati,da_definire,2,placeholder,,
Strade_Scolastiche:224a6f066a,strada_scolastica,settimia spizzichino,da_definire,2,placeholder,,
Strade_Scolastiche:aab1a2873e,strada_scolastica,giovanni cagliero,da_definire,3,placeholder,,
Strade_Scolastiche:0768649627,strada_scolastica,alessandro malaspina,da_definire,4,placeholder,,
Strade_Scolastiche:02e99c8507,strada_scolastica,cesare battisti,da_definire,0,placeholder,,
Strade_Scolastiche:5bff871fde,strada_scolastica,principe di piemonte,da_definire,0,placeholder,,
Strade_Scolastiche:c77a74f905,strada_scolastica,macinghi strozzi,da_definire,4,placeholder,,
Strade_Scolastiche:958816b4f0,strada_scolastica,mappamondo,da_definire,4,placeholder,,
Strade_Scolastiche:f588ae63d4,strada_scolastica,cornelio tacito,da_definire,0,placeholder,,
Strade_Scolastiche:6ee11f0ea5,strada_scolastica,segurana,da_definire,2,placeholder,,
Strade_Scolastiche:b46d18b090,strada_scolastica,amici di meglio,da_definire,2,placeholder,,
Strade_Scolastiche:98faf87872,strada_scolastica,nazario sauro,da_definire,2,placeholder,,
Strade_Scolastiche:4999f217e9,strada_scolastica,andersen,da_definire,2,placeholder,,
Strade_Scolastiche:8aff237d9f,strada_scolastica,brembo,da_definire,3,placeholder,,
Strade_Scolastiche:db04a0b550,strada_scolastica,giuseppe silla,da_definire,0,placeholder,,
Strade_Scolastiche:b722114a64,strada_scolastica,alfredo sforzini,da_definire,0,placeholder,,
Strade_Scolastiche:1f76515c65,strada_scolastica,edoardo amaldi,da_definire,6,placeholder,,
Strade_Scolastiche:1c542ef2dc,strada_scolastica,montichiari,da_definire,2,placeholder,,
Strade_Scolastiche:01a7e01f14,strada_scolastica,ferrante aporti,da_definire,4,placeholder,,
Strade_Scolastiche:a3ee4e2e1b,strada_scolastica,jaime pintor,da_definire,3,placeholder,,
Strade_Scolastiche:27b593b192,strada_scolastica,c forlanini a toscanini,da_definire,2,placeholder,,
Strade_Scolastiche:2c914336b3,strada_scolastica,lola di stefano a toscanini,da_definire,3,placeholder,,
Strade_Scolastiche:9144a865ae,strada_scolastica,guglielmo oberdan,da_definire,3,placeholder,,
Strade_Scolastiche:3e2f9211f9,strada_scolastica,vittorino da feltre,da_definire,1,placeholder,,
Strade_Scolastiche:0f5d72c914,strada_scolastica,giardinieri,da_definire,2,placeholder,,
Strade_Scolastiche:be3f88db25,strada_scolastica,regina margherita,da_definire,6,placeholder,,
Strade_Scolastiche:011f031eb4,strada_scolastica,carlo levi,da_definire,6,placeholder,,
Strade_Scolastiche:676ebb3d0f,strada_scolastica,podere rosa,da_definire,6,placeholder,,
Strade_Scolastiche:7252b00428,strada_scolastica,ovile chizzolini rossini,da_definire,6,placeholder,,
Strade_Scolastiche:bf43d433ab,strada_scolastica,liceo anco marzio,da_definire,6,placeholder,,
Strade_Scolastiche:4471d9f5cd,strada_scolastica,ada negri,da_definire,6,placeholder,,
Strade_Scolastiche:a6d02103cd,strada_scolastica,giuseppe vaccari,da_definire,6,placeholder,,
Strade_Scolastiche:01dfa65641,strada_scolastica,dionigio romeo chiodi,da_definire,6,placeholder,,
Aree_Pedonali:47ad7d224b,area_pedonale,Piazza di Spagna,da_definire,,placeholder,,
Aree_Pedonali:a5543dc1c2,area_pedonale,Piazza Mignanelli,da_definire,,placeholder,,
Aree_Pedonali:7bdf094938,area_pedonale,Via Borgognona,da_definire,,placeholder,,
